Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year
Abakan,2020,13495,14940,0,0,0,0,0,0,0,0,0,0,28435
Aikhal,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Loss,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Amderma,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Anadyr (Carbon),2020,4255,4565,0,0,0,0,0,0,0,0,0,0,8820
Anapa (Vitjazevo),2020,43359,33653,0,0,0,0,0,0,0,0,0,0,77012
Apatite (Khibiny),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Vaskovo),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangelsk (Talagy),2020,62698,61408,0,0,0,0,0,0,0,0,0,0,124106
Astrakhan (Narimanovo),2020,47384,46387,0,0,0,0,0,0,0,0,0,0,93771
Trip,2020,157,165,0,0,0,0,0,0,0,0,0,0,322
Baykit,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnaul (Titov Name),2020,34657,33369,0,0,0,0,0,0,0,0,0,0,68026
In Salah,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
white Mountain,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgorod,2020,30337,23907,0,0,0,0,0,0,0,0,0,0,54244
Novy Urengoy,2020,4472,4032,0,0,0,0,0,0,0,0,0,0,8504
Belushi,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Usinsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Beringovskiy,2020,52,64,0,0,0,0,0,0,0,0,0,0,116
Blagoveshchensk (Ignatevo),2020,44356,42978,0,0,0,0,0,0,0,0,0,0,87334
Bovanenkovo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogorodskoe,2020,143,150,0,0,0,0,0,0,0,0,0,0,293
Bodaybo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Bratsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryansk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Bugulma,2020,4162,4228,0,0,0,0,0,0,0,0,0,0,8390
Vanavara,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Varandey,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Верхневилюйск,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Vizhas,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Viljujsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladivostok (Knevichi),2020,212443,176627,0,0,0,0,0,0,0,0,0,0,389070
Vladikavkaz (Beslan),2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Volgograd (Gumrak),2020,79367,75256,0,0,0,0,0,0,0,0,0,0,154623
Vologda,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Volokovaya,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Vorkuta,2020,868,512,0,0,0,0,0,0,0,0,0,0,1380
